Quantity,Designators,Package,Value,MPN,Manufacturer
1,C1,CAPC1608 (0603),10μF,,
2,"C2, C10",CAPC1608 (0603),1μF,,
9,"C3, C4, C5, C6, C7, C12, C13, C17, C18",CAPC1608 (0603),100nF,,
2,"C8, C9",CAPC1608 (0603),5.6pF,,
1,C11,CAPC1608 (0603),22nF,,
1,C14,CAPC1608 (0603),470pF,,
1,C15,CAPC2012 (0805),2.2μF,,
1,C19,CAPC1608 (0603),4.7μF,,
1,C27,CAPC2012 (0805),10μF,,
2,"D1, D2",SOD2514X110,,BAT60AE6327HTSA1,infineon
1,J1,CUI_PJ-037,,PJ-037B,CUI Devices
1,J2,ADAFRUIT_4048,SWD,4048,Adafruit
1,J3,PULSEELECTRONICS_J3,,J3011G21DNL,Pulse Electronics
1,L1,RESC1608 (0603),,MPZ1608B471ATA00,TDK Corporation
1,L3,TDK_VLCF4020,6.8μH,VLCF4020T-6R8N1R0,TDK Corporation
1,LED1,LED-THT-P254D300H450-CLEAR,,HIR204C,Everlight Electronics
1,LED2,OSRAM_CHIPLED0805_DIFFUSED,,LG R971-KN-1,OSRAM
1,Q1,SOT23-3,,"SSM3K329R,LF",Toshiba
1,R1,RESC1608 (0603),100Ω,,
5,"R2, R21, R22, R23, R24",RESC1608 (0603),10kΩ,,
1,R3,RESC1608 (0603),100kΩ,,
1,R4,RESC1608 (0603),12.1kΩ 1%,,
4,"R5, R6, R7, R8",RESC1608 (0603),49.9Ω 1%,,
2,"R9, R10",RESC1608 (0603),270Ω,,
5,"R11, R14, R15, R18, R19",RESC1608 (0603),33Ω,,
1,R20,RESC1608 (0603),1.5kΩ,,
1,R25,RESC1608 (0603),0Ω,,
1,T1,LED-THT-P254D300H450-CLEAR,,SFH 309 FA-5,
1,U1,QFN24,,LAN8720A-CP,Microchip
1,U2,SOT95P280X145-6,,LMR16006YQ3,Texas Instruments
1,U3,LQFP50P1200X1200X140-64,,STM32F107RCT6TR,STMicroelectronics
1,Y1,ECS-33B,25MHz,ECS-250-10-33B-CWN-TR,ECS
