Quantity,Designators,Package,Value,MPN,Manufacturer,Value[2],MPN[2],Manufacturer[2]
1,C1,CAPC1608 (0603),10μF,,,,,
3,"C2, C10, C23",CAPC1608 (0603),1μF,,,,,
8,"C3, C4, C5, C6, C7, C12, C13, C14",CAPC1608 (0603),100nF,,,,,
2,"C8, C9",CAPC1608 (0603),5.6pF,,,,,
1,C11,CAPC1608 (0603),470pF,,,,,
1,C15,CAPC1608 (0603),4.7μF,,,,,
1,C16,CAPC1608 (0603),22nF,,,,,
1,C17,Elko D6.3x5.8mm SMT,10μF 63V,HHXD630ARA100MF61G,Chemi-Con,,,
1,C18,CAPC3216 (1206),2.2μF 100V,,,,,
1,C19,CAPC2012 (0805),68nF 100V,,,,,
3,"C20, C21, C22",CAPC3216 (1206),22μF,,,,,
1,J1,TAOGLAS_TMJ166323B10NL,,TMJ166323B10NL,Taoglas Limited,,,
1,J2,ADAFRUIT_4048,SWD,4048,Adafruit,,,
1,L1,INDC1608 (0603),,MPZ1608B471ATA00,TDK Corporation,,,
1,L2,ABRACON_ASPI-4030S,33μH 1.4A,ASPI-4030S-330M-T,Abracon LLC,,,
1,LED1,INOLUX_S126ETIR,,IN-S126ETIR,Inolux,,SFH 4059,Osram
1,R1,RESC1608 (0603),100Ω,,,,,
1,R2,RESC1608 (0603),1kΩ,,,,,
4,"R3, R4, R5, R6",RESC1608 (0603),49.9Ω 1%,,,,,
1,R7,RESC1608 (0603),12.1kΩ 1%,,,,,
6,"R8, R10, R13, R14, R16, R18",RESC1608 (0603),10kΩ,,,,,
1,R9,RESC1608 (0603),0Ω,,,,,
4,"R11, R12, R15, R19",RESC1608 (0603),33Ω,,,,,
1,R17,RESC1608 (0603),1.5kΩ,,,,,
2,"R20, R21",RESC1608 (0603),270Ω,,,,,
1,R22,RESC1608 (0603),24.9kΩ,,,,,
1,R23,RESC1608 (0603),68kΩ,,,,,
1,R24,RESC1608 (0603),39kΩ,,,,,
1,S1,CK_PTS526_15,,PTS526 SK15 SMTR2 LFS,C&K,,,
1,T1,VISHAY_TEMT1020,,TEMT1020,VIshay,,,
1,U1,QFN24,,LAN8720A-CP,Microchip,,,
1,U3,LQFP50P1200X1200X140-64,,STM32F107RCT6TR,STMicroelectronics,,,
1,U4,TQFN16-EP,,MAX5986AETE+,Analog Devices,,,
1,Y1,ECS-33B,25MHz,ECS-250-10-33B-CWN-TR,ECS,,,
